s/n,Age,Gender,Country,self_employed,family_history,treatment,no_employees,wellness_program,leave,care_options,obs_consequence,Continents,YearMonth
285,21-30,Male,United Kingdom,No,Yes,Yes,Less than 26,No,Somewhat easy,No,No,Europe,2014-08
286,21-30,Female,United States,No,Yes,Yes,More than 1000,Don't know,Don't know,Not sure,No,North America,2014-08
287,20 down,Male,United States,No,No,No,26-100,Don't know,Very easy,Not sure,No,North America,2014-08
288,31-40,Female,United States,No,No,Yes,Less than 26,No,Don't know,Yes,Yes,North America,2014-08
289,21-30,Female,United States,No,Yes,Yes,More than 1000,Yes,Somewhat easy,Yes,No,North America,2014-08
290,21-30,Male,Switzerland,Yes,No,No,Less than 26,No,Somewhat easy,No,No,Europe,2014-08
291,31-40,Male,United States,No,No,No,More than 1000,No,Don't know,No,No,North America,2014-08
292,41-50,Male,United States,No,Yes,Yes,More than 1000,Don't know,Don't know,Yes,No,North America,2014-08
293,31-40,Male,United States,No,No,No,More than 1000,No,Don't know,No,No,North America,2014-08
294,51 up,Male,United States,No,No,Yes,More than 1000,Don't know,Don't know,Not sure,No,North America,2014-08
295,21-30,Female,United States,No,No,No,500-1000,No,Don't know,Not sure,No,North America,2014-08
296,21-30,Female,United States,No,Yes,Yes,26-100,Yes,Very easy,Yes,No,North America,2014-08
297,51 up,Male,United States,No,No,No,More than 1000,Don't know,Don't know,No,No,North America,2014-08
298,31-40,Male,United States,No,Yes,Yes,More than 1000,Yes,Don't know,No,No,North America,2014-08
299,31-40,Male,United States,No,No,No,More than 1000,Yes,Don't know,Yes,No,North America,2014-08
300,21-30,Female,United States,No,No,Yes,More than 1000,Yes,Don't know,Yes,No,North America,2014-08
301,31-40,Female,United States,No,No,Yes,More than 1000,Don't know,Somewhat easy,Not sure,No,North America,2014-08
302,21-30,Male,United States,No,No,No,100-500,No,Don't know,Not sure,No,North America,2014-08
303,21-30,Female,United States,No,Yes,Yes,100-500,Yes,Somewhat easy,Yes,No,North America,2014-08
304,31-40,Female,United States,No,No,Yes,More than 1000,Don't know,Somewhat easy,Yes,No,North America,2014-08
305,21-30,Male,Canada,No,Yes,Yes,Less than 26,No,Don't know,No,No,North America,2014-08
306,21-30,Others,United States,No,Yes,Yes,26-100,No,Somewhat easy,Not sure,No,North America,2014-08
307,21-30,Male,United States,No,No,No,26-100,No,Don't know,No,Yes,North America,2014-08
308,21-30,Male,United States,No,No,No,26-100,No,Don't know,Not sure,No,North America,2014-08
309,21-30,Male,United States,No,No,No,100-500,Yes,Don't know,Not sure,No,North America,2014-08
310,21-30,Male,Canada,No,No,Yes,Less than 26,No,Somewhat difficult,No,No,North America,2014-08
311,31-40,Male,United States,No,No,Yes,100-500,Don't know,Don't know,Not sure,No,North America,2014-08
312,31-40,Male,United States,Yes,No,Yes,Less than 26,No,Somewhat easy,Yes,No,North America,2014-08
313,21-30,Male,United States,No,Yes,Yes,More than 1000,No,Don't know,Not sure,No,North America,2014-08
314,21-30,Male,United States,No,Yes,No,More than 1000,Don't know,Very easy,No,No,North America,2014-08
315,21-30,Male,United States,No,No,No,Less than 26,No,Don't know,Not sure,No,North America,2014-08
316,21-30,Male,United States,No,No,No,100-500,No,Don't know,Not sure,No,North America,2014-08
317,21-30,Male,United States,No,No,No,More than 1000,Yes,Very easy,Yes,No,North America,2014-08
318,21-30,Female,United States,No,Yes,Yes,More than 1000,Yes,Somewhat easy,Yes,Yes,North America,2014-08
319,21-30,Male,Latvia,No,No,No,26-100,No,Somewhat easy,Yes,No,Europe,2014-08
320,41-50,Male,United States,No,Yes,Yes,100-500,Don't know,Somewhat easy,Yes,No,North America,2014-08
321,21-30,Male,United States,No,No,Yes,More than 1000,No,Don't know,No,No,North America,2014-08
322,31-40,Male,United States,No,No,No,500-1000,Don't know,Somewhat easy,Not sure,No,North America,2014-08
323,21-30,Female,United States,No,Yes,Yes,More than 1000,No,Don't know,Yes,No,North America,2014-08
324,21-30,Male,United States,No,No,Yes,Less than 26,Don't know,Don't know,No,No,North America,2014-08
325,21-30,Male,United States,No,No,No,More than 1000,Don't know,Don't know,Not sure,No,North America,2014-08
326,21-30,Female,United States,No,No,No,More than 1000,Yes,Somewhat easy,Yes,No,North America,2014-08
327,21-30,Male,United States,No,Yes,Yes,More than 1000,Don't know,Don't know,Not sure,No,North America,2014-08
328,21-30,Male,United States,Yes,No,No,Less than 26,No,Don't know,Yes,No,North America,2014-08
329,31-40,Male,Germany,Yes,Yes,Yes,Less than 26,No,Somewhat difficult,No,Yes,Europe,2014-08
330,21-30,Male,United States,No,No,No,26-100,Yes,Very easy,Not sure,No,North America,2014-08
331,21-30,Male,Canada,No,Yes,Yes,More than 1000,No,Don't know,Yes,No,North America,2014-08
332,31-40,Male,United States,No,No,No,100-500,No,Somewhat easy,No,No,North America,2014-08
333,41-50,Male,Ireland,Yes,No,Yes,Less than 26,No,Very difficult,No,No,Europe,2014-08
334,21-30,Male,Romania,No,No,No,Less than 26,No,Don't know,Yes,No,Europe,2014-08
335,41-50,Male,United States,No,No,No,26-100,Yes,Very easy,Not sure,No,North America,2014-08
336,21-30,Male,United Kingdom,No,No,Yes,26-100,No,Don't know,No,No,Europe,2014-08
337,21-30,Female,United States,Yes,No,No,More than 1000,Don't know,Very easy,Not sure,No,North America,2014-08
338,21-30,Male,United States,No,No,No,More than 1000,Don't know,Don't know,Yes,No,North America,2014-08
339,21-30,Male,United States,No,No,No,26-100,Yes,Very easy,Yes,No,North America,2014-08
340,31-40,Male,United States,No,No,No,26-100,No,Don't know,Not sure,No,North America,2014-08
341,31-40,Female,United States,No,Yes,No,26-100,No,Very difficult,Yes,No,North America,2014-08
342,21-30,Male,United States,No,No,No,More than 1000,Don't know,Very easy,Not sure,No,North America,2014-08
343,31-40,Male,United States,No,No,No,More than 1000,Don't know,Don't know,Not sure,No,North America,2014-08
344,31-40,Male,United Kingdom,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
345,21-30,Female,United States,No,Yes,Yes,26-100,No,Don't know,Yes,No,North America,2014-08
346,21-30,Male,United States,No,Yes,Yes,100-500,No,Don't know,No,No,North America,2014-08
347,51 up,Male,United States,No,Yes,Yes,More than 1000,Yes,Don't know,No,No,North America,2014-08
348,21-30,Male,United States,No,No,No,More than 1000,Don't know,Don't know,No,No,North America,2014-08
349,21-30,Others,United States,No,Yes,Yes,More than 1000,Don't know,Don't know,Yes,No,North America,2014-08
350,21-30,Male,Belgium,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
351,21-30,Male,United States,No,No,Yes,More than 1000,Yes,Don't know,Yes,No,North America,2014-08
352,21-30,Male,United Kingdom,No,No,No,Less than 26,No,Very easy,No,No,Europe,2014-08
353,21-30,Male,United States,No,Yes,Yes,More than 1000,Don't know,Don't know,Not sure,No,North America,2014-08
354,21-30,Female,Sweden,No,Yes,No,Less than 26,Yes,Somewhat easy,Yes,No,Europe,2014-08
355,31-40,Male,United States,No,No,Yes,500-1000,No,Don't know,Yes,No,North America,2014-08
356,31-40,Male,United States,No,Yes,Yes,26-100,No,Don't know,Not sure,No,North America,2014-08
357,31-40,Male,United States,No,Yes,Yes,More than 1000,Don't know,Don't know,Yes,No,North America,2014-08
358,31-40,Male,United States,No,No,Yes,100-500,No,Somewhat easy,No,No,North America,2014-08
359,21-30,Male,United States,Yes,No,No,Less than 26,No,Very easy,Yes,No,North America,2014-08
360,31-40,Female,United States,No,No,No,Less than 26,No,Somewhat difficult,No,No,North America,2014-08
361,31-40,Male,Germany,Yes,Yes,Yes,26-100,No,Somewhat difficult,No,No,Europe,2014-08
362,21-30,Male,United States,Yes,Yes,Yes,100-500,No,Don't know,No,No,North America,2014-08
363,31-40,Male,United States,No,Yes,Yes,More than 1000,Yes,Don't know,Yes,No,North America,2014-08
364,51 up,Male,United States,No,No,Yes,Less than 26,No,Don't know,Yes,No,North America,2014-08
365,21-30,Male,United States,No,Yes,Yes,More than 1000,No,Somewhat difficult,Not sure,No,North America,2014-08
366,31-40,Male,United States,No,Yes,No,More than 1000,Yes,Very easy,No,No,North America,2014-08
367,31-40,Male,United States,No,Yes,Yes,100-500,No,Very easy,Yes,No,North America,2014-08
368,21-30,Male,United States,No,Yes,Yes,100-500,No,Don't know,No,No,North America,2014-08
369,21-30,Male,United Kingdom,No,No,Yes,Less than 26,No,Very easy,Not sure,No,Europe,2014-08
370,21-30,Female,United States,No,No,No,More than 1000,Yes,Somewhat easy,No,No,North America,2014-08
371,41-50,Male,United States,No,Yes,Yes,More than 1000,Yes,Somewhat difficult,No,Yes,North America,2014-08
372,51 up,Male,United States,No,Yes,Yes,More than 1000,Yes,Very easy,Yes,No,North America,2014-08
373,31-40,Female,United States,No,No,Yes,26-100,Yes,Somewhat easy,Yes,No,North America,2014-08
374,21-30,Female,United States,No,Yes,Yes,26-100,Don't know,Somewhat easy,Not sure,No,North America,2014-08
375,41-50,Male,United States,No,No,Yes,26-100,Don't know,Don't know,Yes,No,North America,2014-08
376,21-30,Female,United States,No,No,Yes,More than 1000,No,Don't know,Yes,No,North America,2014-08
377,21-30,Female,United States,No,Yes,Yes,26-100,No,Don't know,No,No,North America,2014-08
378,31-40,Female,United States,No,Yes,Yes,More than 1000,Yes,Very difficult,Yes,No,North America,2014-08
379,21-30,Female,United States,No,Yes,Yes,More than 1000,No,Don't know,Yes,No,North America,2014-08
380,41-50,Male,Canada,No,No,Yes,500-1000,No,Somewhat easy,Not sure,No,North America,2014-08
381,21-30,Male,United States,No,No,Yes,More than 1000,Yes,Don't know,No,No,North America,2014-08
382,31-40,Others,United States,No,Yes,Yes,26-100,No,Don't know,No,No,North America,2014-08
383,21-30,Male,Germany,No,Yes,Yes,26-100,No,Somewhat easy,No,No,Europe,2014-08
384,21-30,Male,United States,No,No,Yes,Less than 26,No,Don't know,No,No,North America,2014-08
385,21-30,Female,United States,No,Yes,Yes,More than 1000,No,Don't know,Yes,No,North America,2014-08
386,41-50,Male,New Zealand,No,No,No,500-1000,No,Don't know,Not sure,No,Oceania,2014-08
387,21-30,Others,United States,Yes,Yes,Yes,Less than 26,No,Very difficult,Yes,No,North America,2014-08
388,21-30,Female,United States,No,No,Yes,Less than 26,No,Somewhat difficult,Not sure,No,North America,2014-08
389,31-40,Female,Sweden,No,Yes,Yes,More than 1000,No,Don't know,Yes,No,Europe,2014-08
390,51 up,Others,Zimbabwe,Yes,Yes,Yes,Less than 26,No,Very difficult,Yes,Yes,Africa,2014-08
391,31-40,Female,United States,No,Yes,Yes,More than 1000,Don't know,Somewhat easy,No,No,North America,2014-08
392,31-40,Male,United States,No,No,No,More than 1000,No,Somewhat easy,No,No,North America,2014-08
393,21-30,Male,Canada,No,Yes,Yes,26-100,Don't know,Very easy,No,No,North America,2014-08
394,21-30,Female,United States,No,Yes,No,500-1000,No,Very difficult,No,Yes,North America,2014-08
395,21-30,Male,United States,No,No,No,More than 1000,No,Don't know,Not sure,No,North America,2014-08
396,41-50,Male,United Kingdom,No,No,No,26-100,No,Don't know,No,No,Europe,2014-08
397,31-40,Male,United Kingdom,No,No,No,Less than 26,No,Very difficult,No,Yes,Europe,2014-08
398,31-40,Female,United States,No,No,No,100-500,No,Don't know,Not sure,No,North America,2014-08
399,21-30,Male,Canada,No,No,Yes,100-500,Don't know,Somewhat easy,Not sure,No,North America,2014-08
400,21-30,Male,United States,No,Yes,Yes,Less than 26,No,Somewhat difficult,Yes,No,North America,2014-08
401,21-30,Male,United States,No,Yes,Yes,26-100,No,Don't know,Yes,No,North America,2014-08
402,21-30,Male,United States,No,No,No,More than 1000,No,Don't know,No,No,North America,2014-08
403,31-40,Male,United States,No,Yes,Yes,100-500,No,Very difficult,Yes,Yes,North America,2014-08
404,21-30,Male,Germany,No,Yes,Yes,26-100,No,Very easy,No,No,Europe,2014-08
405,21-30,Male,United States,No,Yes,No,Less than 26,No,Very easy,Yes,No,North America,2014-08
406,31-40,Male,United States,No,Yes,Yes,26-100,Yes,Don't know,Yes,No,North America,2014-08
407,31-40,Male,United States,No,No,No,More than 1000,Don't know,Don't know,No,No,North America,2014-08
408,21-30,Male,Brazil,Yes,No,No,Less than 26,No,Somewhat easy,No,No,South America,2014-08
409,21-30,Female,Spain,No,Yes,No,500-1000,No,Don't know,No,No,Europe,2014-08
410,31-40,Male,United States,No,Yes,Yes,More than 1000,No,Somewhat easy,Yes,No,North America,2014-08
411,31-40,Female,United States,No,Yes,Yes,More than 1000,No,Very difficult,Not sure,No,North America,2014-08
412,21-30,Male,United States,No,Yes,No,More than 1000,Don't know,Don't know,Not sure,Yes,North America,2014-08
413,31-40,Others,United Kingdom,No,Yes,Yes,More than 1000,No,Don't know,No,No,Europe,2014-08
414,21-30,Female,United States,No,No,Yes,100-500,Don't know,Somewhat difficult,Not sure,No,North America,2014-08
415,21-30,Male,United States,No,Yes,No,Less than 26,No,Somewhat easy,No,No,North America,2014-08
416,21-30,Others,Germany,No,Yes,Yes,100-500,No,Somewhat difficult,Not sure,No,Europe,2014-08
417,21-30,Male,India,No,No,No,Less than 26,No,Don't know,No,No,Asia,2014-08
418,31-40,Male,Finland,No,No,No,Less than 26,No,Somewhat easy,No,No,Europe,2014-08
419,51 up,Male,United States,No,Yes,Yes,Less than 26,No,Don't know,Yes,Yes,North America,2014-08
420,21-30,Male,Germany,No,Yes,Yes,Less than 26,No,Very easy,No,No,Europe,2014-08
421,21-30,Male,Uruguay,No,No,No,26-100,Don't know,Don't know,No,No,South America,2014-08
422,21-30,Male,New Zealand,No,Yes,Yes,Less than 26,Yes,Very easy,Yes,No,Oceania,2014-08
423,31-40,Male,United Kingdom,No,Yes,Yes,Less than 26,No,Somewhat easy,No,No,Europe,2014-08
424,21-30,Female,United States,No,No,Yes,More than 1000,No,Don't know,Yes,No,North America,2014-08
425,21-30,Male,United States,No,No,No,Less than 26,No,Don't know,Not sure,No,North America,2014-08
426,21-30,Male,United States,No,Yes,Yes,100-500,No,Somewhat difficult,Yes,Yes,North America,2014-08
427,21-30,Female,United States,No,No,No,More than 1000,Yes,Don't know,Not sure,No,North America,2014-08
428,21-30,Male,United States,No,No,No,More than 1000,No,Don't know,No,No,North America,2014-08
429,21-30,Female,United States,No,No,No,More than 1000,Yes,Somewhat easy,Yes,No,North America,2014-08
430,21-30,Male,Canada,Yes,No,No,100-500,No,Somewhat easy,No,No,North America,2014-08
431,21-30,Female,United States,No,Yes,Yes,Less than 26,No,Very easy,No,No,North America,2014-08
432,31-40,Male,United States,Yes,No,Yes,Less than 26,No,Somewhat easy,No,No,North America,2014-08
433,31-40,Male,United States,No,No,No,26-100,No,Don't know,No,No,North America,2014-08
434,21-30,Female,United States,No,No,Yes,26-100,No,Somewhat difficult,Not sure,No,North America,2014-08
435,21-30,Male,United States,No,No,No,Less than 26,No,Don't know,No,No,North America,2014-08
436,21-30,Male,United States,No,No,No,More than 1000,Don't know,Don't know,Not sure,Yes,North America,2014-08
437,20 down,Male,Australia,No,No,No,100-500,Don't know,Very easy,Not sure,No,Oceania,2014-08
438,21-30,Female,United States,No,No,Yes,26-100,No,Don't know,Yes,No,North America,2014-08
439,21-30,Male,United States,No,Yes,Yes,Less than 26,Yes,Somewhat easy,Yes,No,North America,2014-08
440,21-30,Male,United Kingdom,No,Yes,No,Less than 26,No,Don't know,No,No,Europe,2014-08
441,31-40,Male,United States,No,No,No,More than 1000,Yes,Somewhat easy,No,No,North America,2014-08
442,41-50,Male,United States,No,No,Yes,More than 1000,Yes,Don't know,Yes,Yes,North America,2014-08
443,31-40,Female,United States,No,No,No,100-500,Don't know,Don't know,No,No,North America,2014-08
444,21-30,Male,Canada,No,Yes,Yes,Less than 26,No,Very easy,Yes,No,North America,2014-08
445,31-40,Male,United States,No,Yes,No,More than 1000,No,Don't know,No,Yes,North America,2014-08
446,31-40,Male,United States,No,Yes,No,More than 1000,Don't know,Don't know,Not sure,Yes,North America,2014-08
447,21-30,Female,United States,No,No,Yes,100-500,No,Somewhat difficult,Yes,Yes,North America,2014-08
448,21-30,Male,United States,No,No,Yes,26-100,Yes,Don't know,Yes,No,North America,2014-08
449,31-40,Male,Canada,No,Yes,Yes,More than 1000,Yes,Don't know,Yes,No,North America,2014-08
450,41-50,Male,United States,Yes,Yes,Yes,Less than 26,No,Very easy,Yes,No,North America,2014-08
451,31-40,Others,United States,No,Yes,No,More than 1000,Yes,Don't know,Yes,No,North America,2014-08
452,21-30,Male,United States,No,Yes,Yes,More than 1000,Yes,Very difficult,Yes,Yes,North America,2014-08
453,31-40,Male,United States,No,No,Yes,Less than 26,No,Don't know,Not sure,No,North America,2014-08
454,21-30,Male,United States,No,Yes,Yes,100-500,No,Don't know,Not sure,No,North America,2014-08
455,31-40,Male,United States,No,No,No,More than 1000,No,Somewhat easy,No,No,North America,2014-08
456,21-30,Male,Brazil,No,No,No,Less than 26,No,Somewhat easy,Yes,No,South America,2014-08
457,31-40,Male,Netherlands,No,Yes,No,100-500,No,Don't know,No,No,Europe,2014-08
458,31-40,Male,United Kingdom,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
459,31-40,Male,United States,No,No,No,500-1000,No,Don't know,No,No,North America,2014-08
460,21-30,Male,United Kingdom,No,No,No,26-100,Don't know,Don't know,No,No,Europe,2014-08
461,31-40,Female,United States,No,No,No,500-1000,Yes,Very easy,Not sure,No,North America,2014-08
462,21-30,Others,United States,No,No,No,Less than 26,No,Somewhat easy,Yes,No,North America,2014-08
463,21-30,Female,United States,No,Yes,No,26-100,No,Somewhat difficult,Not sure,No,North America,2014-08
464,21-30,Male,United States,No,Yes,Yes,Less than 26,Yes,Somewhat easy,No,No,North America,2014-08
465,31-40,Male,United Kingdom,Yes,No,Yes,26-100,No,Somewhat easy,No,No,Europe,2014-08
466,51 up,Male,United States,No,Yes,Yes,More than 1000,No,Don't know,Yes,No,North America,2014-08
467,21-30,Male,United Kingdom,No,No,Yes,More than 1000,No,Very difficult,No,No,Europe,2014-08
468,21-30,Male,France,No,No,No,Less than 26,No,Don't know,Yes,No,Europe,2014-08
469,41-50,Female,Netherlands,No,No,Yes,100-500,No,Don't know,Yes,No,Europe,2014-08
470,31-40,Male,United States,No,No,Yes,100-500,Yes,Very easy,Yes,No,North America,2014-08
471,51 up,Male,United States,No,No,Yes,More than 1000,Yes,Somewhat easy,Yes,No,North America,2014-08
472,21-30,Male,United States,No,No,No,Less than 26,No,Very difficult,No,No,North America,2014-08
473,31-40,Female,United Kingdom,No,No,Yes,More than 1000,No,Don't know,Yes,Yes,Europe,2014-08
474,31-40,Male,United States,No,No,No,Less than 26,No,Very difficult,No,No,North America,2014-08
475,51 up,Male,United States,No,No,Yes,More than 1000,Yes,Don't know,Not sure,No,North America,2014-08
476,21-30,Male,Germany,No,Yes,Yes,Less than 26,No,Somewhat difficult,Not sure,Yes,Europe,2014-08
477,21-30,Male,Germany,Yes,Yes,Yes,26-100,Don't know,Don't know,No,No,Europe,2014-08
478,20 down,Male,Finland,No,No,No,500-1000,No,Very easy,No,No,Europe,2014-08
479,21-30,Female,United States,No,No,No,100-500,No,Don't know,Not sure,No,North America,2014-08
480,21-30,Male,United States,No,No,No,26-100,Don't know,Don't know,Not sure,No,North America,2014-08
481,41-50,Male,United States,No,No,Yes,More than 1000,Yes,Somewhat easy,Yes,No,North America,2014-08
482,20 down,Female,United Kingdom,No,Yes,Yes,Less than 26,Don't know,Don't know,Not sure,No,Europe,2014-08
483,21-30,Male,United States,No,No,Yes,Less than 26,No,Don't know,Yes,No,North America,2014-08
484,41-50,Male,United States,No,No,No,Less than 26,No,Don't know,No,No,North America,2014-08
485,41-50,Male,Germany,No,No,Yes,26-100,Don't know,Somewhat easy,Yes,Yes,Europe,2014-08
486,21-30,Female,United States,No,Yes,Yes,26-100,No,Don't know,Not sure,No,North America,2014-08
487,21-30,Male,United States,Yes,Yes,Yes,Less than 26,No,Very easy,Yes,No,North America,2014-08
488,21-30,Male,Israel,No,No,No,Less than 26,No,Very easy,No,No,Asia,2014-08
489,31-40,Male,Italy,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
490,31-40,Male,United States,No,No,No,More than 1000,Don't know,Don't know,Not sure,No,North America,2014-08
491,21-30,Male,United States,No,No,No,100-500,No,Don't know,Not sure,No,North America,2014-08
492,21-30,Male,Israel,No,No,No,26-100,No,Somewhat difficult,No,Yes,Asia,2014-08
493,21-30,Female,United States,Yes,Yes,Yes,Less than 26,Don't know,Don't know,No,Yes,North America,2014-08
494,21-30,Male,United States,No,No,No,26-100,Don't know,Don't know,Not sure,No,North America,2014-08
495,21-30,Female,United States,No,Yes,Yes,More than 1000,Don't know,Don't know,Not sure,Yes,North America,2014-08
496,31-40,Male,United States,No,No,Yes,More than 1000,No,Somewhat difficult,Not sure,Yes,North America,2014-08
497,21-30,Female,United States,Yes,Yes,Yes,Less than 26,No,Somewhat difficult,Not sure,Yes,North America,2014-08
498,51 up,Male,United Kingdom,No,No,Yes,More than 1000,Yes,Very easy,Yes,No,Europe,2014-08
499,31-40,Male,Netherlands,No,No,No,Less than 26,Don't know,Somewhat easy,Not sure,No,Europe,2014-08
500,31-40,Female,United States,No,No,Yes,26-100,No,Don't know,Yes,No,North America,2014-08
501,31-40,Male,Ireland,Yes,Yes,No,More than 1000,No,Don't know,No,Yes,Europe,2014-08
502,31-40,Male,United Kingdom,No,No,No,26-100,No,Don't know,Not sure,No,Europe,2014-08
503,21-30,Male,Germany,No,No,No,More than 1000,Don't know,Don't know,Not sure,No,Europe,2014-08
504,31-40,Female,United States,No,No,Yes,100-500,No,Don't know,Yes,No,North America,2014-08
505,41-50,Male,United States,No,No,Yes,More than 1000,Yes,Don't know,Yes,No,North America,2014-08
506,41-50,Male,United States,No,No,No,100-500,Yes,Very difficult,No,No,North America,2014-08
507,31-40,Male,United Kingdom,No,Yes,Yes,Less than 26,No,Don't know,No,No,Europe,2014-08
508,41-50,Male,United States,No,Yes,Yes,More than 1000,Yes,Very easy,Yes,No,North America,2014-08
509,21-30,Male,United States,No,No,No,More than 1000,Yes,Don't know,Not sure,No,North America,2014-08
510,31-40,Female,United States,No,No,Yes,500-1000,Yes,Very easy,Yes,No,North America,2014-08
511,21-30,Female,United States,No,No,No,Less than 26,No,Somewhat easy,No,No,North America,2014-08
512,21-30,Male,United States,No,No,No,More than 1000,No,Don't know,Not sure,No,North America,2014-08
513,31-40,Male,United States,No,No,No,26-100,Yes,Very easy,Yes,No,North America,2014-08
514,31-40,Male,United States,No,Yes,Yes,More than 1000,Yes,Don't know,Not sure,No,North America,2014-08
515,41-50,Male,United States,No,No,No,Less than 26,No,Don't know,No,No,North America,2014-08
516,41-50,Male,United States,No,No,Yes,500-1000,Yes,Don't know,Not sure,No,North America,2014-08
517,31-40,Female,United States,No,Yes,Yes,More than 1000,Yes,Very easy,Yes,Yes,North America,2014-08
518,31-40,Male,Germany,No,No,Yes,Less than 26,No,Very easy,Yes,No,Europe,2014-08
519,31-40,Male,United Kingdom,No,Yes,Yes,26-100,No,Very easy,Yes,No,Europe,2014-08
520,51 up,Male,United States,No,No,No,More than 1000,Don't know,Don't know,Yes,No,North America,2014-08
521,21-30,Female,United States,No,No,No,More than 1000,Don't know,Don't know,Not sure,No,North America,2014-08
522,31-40,Male,United States,No,No,No,More than 1000,No,Don't know,No,No,North America,2014-08
523,21-30,Male,Bosnia and Herzegovina,No,Yes,No,26-100,Don't know,Don't know,Not sure,Yes,Europe,2014-08
524,31-40,Male,United States,Yes,Yes,Yes,Less than 26,Don't know,Somewhat difficult,Yes,No,North America,2014-08
525,41-50,Female,United States,No,Yes,Yes,500-1000,Yes,Very easy,Yes,No,North America,2014-08
526,21-30,Male,Austria,Yes,No,No,Less than 26,Don't know,Somewhat easy,Yes,No,Europe,2014-08
527,51 up,Male,New Zealand,No,No,Yes,26-100,Yes,Somewhat difficult,Yes,Yes,Oceania,2014-08
528,21-30,Male,United States,No,No,Yes,Less than 26,No,Very easy,Yes,No,North America,2014-08
529,31-40,Female,Canada,Yes,Yes,Yes,100-500,Don't know,Don't know,Not sure,No,North America,2014-08
530,21-30,Male,United Kingdom,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
531,31-40,Male,Australia,No,No,Yes,100-500,Yes,Somewhat easy,Yes,No,Oceania,2014-08
532,21-30,Female,Hungary,Yes,Yes,No,Less than 26,No,Very difficult,No,No,Europe,2014-08
533,21-30,Male,Sweden,No,No,No,Less than 26,No,Very easy,No,No,Europe,2014-08
534,21-30,Male,Canada,No,No,No,26-100,Don't know,Don't know,Not sure,No,North America,2014-08
535,21-30,Female,Australia,No,Yes,Yes,Less than 26,No,Somewhat difficult,Yes,No,Oceania,2014-08
536,31-40,Male,United States,No,Yes,Yes,26-100,Yes,Somewhat easy,Yes,No,North America,2014-08
537,21-30,Male,United States,No,Yes,Yes,More than 1000,No,Don't know,No,No,North America,2014-08
538,21-30,Male,United Kingdom,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
539,21-30,Female,United States,No,Yes,Yes,500-1000,No,Don't know,Yes,Yes,North America,2014-08
540,21-30,Female,United States,No,Yes,Yes,100-500,No,Somewhat difficult,No,No,North America,2014-08
541,31-40,Female,United States,No,Yes,Yes,100-500,No,Somewhat easy,Yes,No,North America,2014-08
542,31-40,Male,United Kingdom,No,No,No,Less than 26,No,Don't know,No,No,Europe,2014-08
543,21-30,Female,United States,No,Yes,Yes,100-500,No,Don't know,No,Yes,North America,2014-08
544,21-30,Others,United Kingdom,No,Yes,Yes,100-500,No,Somewhat difficult,Not sure,Yes,Europe,2014-08
545,21-30,Female,United Kingdom,No,No,No,Less than 26,No,Very easy,Not sure,No,Europe,2014-08
546,21-30,Male,United Kingdom,No,No,No,26-100,Don't know,Very easy,Not sure,No,Europe,2014-08
547,31-40,Male,United States,No,Yes,Yes,More than 1000,No,Somewhat difficult,No,No,North America,2014-08
548,21-30,Male,United States,No,Yes,No,More than 1000,Yes,Don't know,Yes,No,North America,2014-08
549,21-30,Male,Germany,No,No,No,26-100,Don't know,Somewhat easy,No,No,Europe,2014-08
550,21-30,Female,United States,No,Yes,No,500-1000,No,Don't know,Not sure,No,North America,2014-08
551,31-40,Male,New Zealand,No,No,Yes,Less than 26,No,Very easy,No,No,Oceania,2014-08
552,21-30,Female,Canada,No,No,Yes,Less than 26,No,Don't know,No,No,North America,2014-08
553,21-30,Others,United Kingdom,No,No,Yes,26-100,Yes,Somewhat easy,Yes,No,Europe,2014-08
554,21-30,Female,New Zealand,No,Yes,Yes,100-500,No,Somewhat easy,No,No,Oceania,2014-08
555,31-40,Female,Canada,No,No,Yes,More than 1000,Don't know,Don't know,Not sure,No,North America,2014-08
556,31-40,Male,Australia,No,No,No,More than 1000,Yes,Very easy,Yes,No,Oceania,2014-08
557,31-40,Male,United States,No,No,No,26-100,Don't know,Don't know,No,No,North America,2014-08
558,21-30,Male,Netherlands,No,Yes,Yes,Less than 26,No,Somewhat easy,Not sure,No,Europe,2014-08
559,21-30,Male,United States,No,No,No,More than 1000,Don't know,Don't know,Not sure,No,North America,2014-08
560,51 up,Male,United States,Yes,No,No,Less than 26,No,Very easy,No,No,North America,2014-08
561,21-30,Male,United States,No,Yes,Yes,100-500,No,Don't know,No,No,North America,2014-08
562,31-40,Male,Australia,No,No,No,More than 1000,Don't know,Very easy,Not sure,No,Oceania,2014-08
563,31-40,Male,United States,No,No,Yes,26-100,No,Don't know,Not sure,No,North America,2014-08
564,31-40,Male,Canada,No,No,No,26-100,No,Somewhat difficult,No,No,North America,2014-08
565,21-30,Male,United States,No,No,Yes,More than 1000,No,Somewhat difficult,Yes,No,North America,2014-08
566,31-40,Male,United States,No,No,Yes,500-1000,Yes,Don't know,Not sure,No,North America,2014-08
567,31-40,Male,United States,No,No,Yes,More than 1000,No,Somewhat easy,No,No,North America,2014-08
